image_name,logo_url,tags
perl,https://raw.githubusercontent.com/docker-library/docs/2f0c63f66919d5f310ba8357cec5f12d93ef4208/perl/logo.png,devel-threaded-bookworm,devel-threaded,5.41.12-threaded-bookworm,5.41.12-threaded,5.41-threaded-bookworm,5.41-threaded,threaded-bookworm,threaded,stable-threaded-bookworm,stable-threaded,devel-bookworm,devel,5.41.12-bookworm,5.41.12,5.41-bookworm,5.41,5.40.2-threaded-bookworm,5.40.2-threaded,5.40-threaded-bookworm,5.40-threaded
hello-world,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-hello-world-logo.png,latest
hylang,https://raw.githubusercontent.com/docker-library/docs/c097f38c6ee48cd13456df8cd853a9d806fff429/hylang/logo.png,latest,python3.9-bookworm,python3.9,python3.14-rc-bookworm,python3.14-rc,python3.13-bookworm,python3.13,python3.12-bookworm,python3.12,python3.11-bookworm,python3.11,python3.10-bookworm,python3.10,bookworm,1.1.0-python3.9-bookworm,1.1.0-python3.9,1.1.0-python3.14-rc-bookworm,1.1.0-python3.14-rc,1.1.0-python3.13-bookworm,1.1.0-python3.13
gcc,https://raw.githubusercontent.com/docker-library/docs/60b29a700d22613526487c7d5fcf4d723ed2ef0a/gcc/logo.png,latest,bookworm,15.1.0-bookworm,15.1.0,15.1-bookworm,15.1,15-bookworm,15,14.3.0-bookworm,14.3.0,14.3-bookworm,14.3,14-bookworm,14,13.4.0-bookworm,13.4.0,13.4-bookworm,13.4,13-bookworm,13
jenkins,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-jenkins-logo.png,latest,lts,alpine
opensuse,https://avatars.githubusercontent.com/u/5429470
golang,https://raw.githubusercontent.com/docker-library/docs/01c12653951b2fe592c1f93a13b4e289ada0e3a1/golang/logo.png,latest,tip-bullseye,tip-bookworm,tip-20250607-bullseye,tip-20250607-bookworm,tip-20250607,tip,bullseye,bookworm,1.24.4-bullseye,1.24.4-bookworm,1.24.4,1.24-bullseye,1.24-bookworm,1.24,1.23.10-bullseye,1.23.10-bookworm,1.23.10,1.23-bullseye,1.23-bookworm
neurodebian,https://raw.githubusercontent.com/docker-library/docs/90ee9ce81aa27322936d7faf585ffc45b7def890/neurodebian/logo.png,latest,non-free,nd120-non-free,nd120,nd110-non-free,nd110,bullseye-non-free,bullseye,bookworm-non-free,bookworm,nd22.04-non-free,nd22.04,jammy-non-free,jammy,noble-non-free,noble,nd24.04-non-free,nd24.04,nd20.04-non-free,nd20.04
clojure,https://raw.githubusercontent.com/docker-library/docs/665526c3b12cedfd721234cedb61e8433f73b75a/clojure/logo.png,tools-deps-trixie-slim,tools-deps-trixie,tools-deps-bullseye-slim,tools-deps-bullseye,tools-deps-bookworm-slim,tools-deps-bookworm,tools-deps-1.12.1.1550-trixie-slim,tools-deps-1.12.1.1550-trixie,tools-deps-1.12.1.1550-bullseye-slim,tools-deps-1.12.1.1550-bullseye,tools-deps-1.12.1.1550-bookworm-slim,tools-deps-1.12.1.1550-bookworm,tools-deps-1.12.1.1550,tools-deps,temurin-8-trixie-slim,temurin-8-trixie,temurin-8-tools-deps-trixie-slim,temurin-8-tools-deps-trixie,temurin-8-tools-deps-bullseye-slim,temurin-8-tools-deps-bullseye
php,https://raw.githubusercontent.com/docker-library/docs/01c12653951b2fe592c1f93a13b4e289ada0e3a1/php/logo.png,8.1-alpine3.22,8.1-alpine,8-zts-alpine3.22,8-zts-alpine,8-fpm-alpine3.22,8-fpm-alpine,8-cli-alpine3.22,8-cli-alpine,8-alpine3.22,8-alpine,zts-alpine3.22,zts-alpine,fpm-alpine3.22,fpm-alpine,cli-alpine3.22,cli-alpine,alpine3.22,alpine,8.4.8-zts-alpine3.22,8.4.8-zts-alpine
jruby,https://raw.githubusercontent.com/docker-library/docs/fbdaaa95f768de2cb4508dde956912f4081a824a/jruby/logo.png,9.4.13.0-jre21,9.4.13-jre21,9.4-jre21,9.4.13.0-jre8,9.4.13.0-jre17,9.4.13.0-jre11,9.4.13.0-jre,9.4.13.0-jdk8,9.4.13.0-jdk21,9.4.13.0-jdk17,9.4.13.0-jdk11,9.4.13.0-jdk,9.4.13.0,9.4.13-jre8,9.4.13-jre17,9.4.13-jre11,9.4.13-jre,9.4.13-jdk8,9.4.13-jdk21,9.4.13-jdk17
mageia,https://raw.githubusercontent.com/docker-library/docs/ab6a17739272608c925f896ecf1c8feb18f0ec1a/mageia/logo.png,latest,cauldron,9,8,7,rc,6,5.1,5,4,3
crate,https://raw.githubusercontent.com/docker-library/docs/774acf9bf99ca29eded5cd50f0ba3f755716673d/crate/logo.svg?sanitize=true,latest,5.10.7,5.10,5.9.13,5.9,5.10.6,5.10.5,5.10.4,5.9.12,5.9.11,5.10.3,5.7.6,5.7,5.8.7,5.8,5.10.2,5.9.10,5.10.1,5.9.9,5.8.6
php-zendserver,https://avatars.githubusercontent.com/u/5429470,latest,2021.0,2019.0,9.1,8.5-php5.6,8.5,5.6,2018.0,7.0-php5.4,5.4,8.5-php5.5,5.5,9.0.1-php7,9.0.1,9.0-php7,9.0,9.0-techpreview2-php7.0GA,9.0rc9-php7.0GA,8.6,8.6-preview-php7.0
tomcat,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-tomcat-logo.png,latest,10,9,8,jre17
mono,https://raw.githubusercontent.com/docker-library/docs/7413e5cdbaae1016411b9fc20950dd913a799e2c/mono/logo.png,latest,6.12.0.182,6.12.0,6.12,6.10.0.104,6.10.0,6.10,6,slim,6.12.0.182-slim,6.12.0-slim,6.12-slim,6.10.0.104-slim,6.10.0-slim,6.10-slim,6-slim,6.12.0.122-slim,6.12.0.122,6.12.0.107-slim,6.12.0.107
haskell,https://raw.githubusercontent.com/docker-library/docs/53e03448d5c2c33124ce24609f6179ddc94873f4/haskell/logo.png,latest,slim-bullseye,slim-bookworm,slim,bullseye,bookworm,9.8.4-slim-bullseye,9.8.4-slim,9.8.4-bullseye,9.8.4,9.8-slim-bullseye,9.8-slim,9.8-bullseye,9.8,9.6.7-slim-bullseye,9.6.7-slim,9.6.7-bullseye,9.6.7,9.6-slim-bullseye,9.6-slim
glassfish,https://avatars.githubusercontent.com/u/5429470,latest,4.1-jdk8,4.1,4.0,4.0-jdk7
maven,https://avatars.githubusercontent.com/u/5429470
httpd,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-httpd-logo.png,latest,2.4,alpine
sentry,https://avatars.githubusercontent.com/u/5429470
r-base,https://avatars.githubusercontent.com/u/5429470
mariadb,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-mariadb-logo.png,latest,10.6,10.5
thrift,https://avatars.githubusercontent.com/u/5429470
pypy,https://avatars.githubusercontent.com/u/5429470
django,https://avatars.githubusercontent.com/u/5429470
haproxy,https://avatars.githubusercontent.com/u/5429470
memcached,https://avatars.githubusercontent.com/u/5429470
rabbitmq,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-rabbitmq-logo.png,latest,3.12,management,alpine
oraclelinux,https://avatars.githubusercontent.com/u/5429470
odoo,https://avatars.githubusercontent.com/u/5429470
rethinkdb,https://avatars.githubusercontent.com/u/5429470
iojs,https://avatars.githubusercontent.com/u/5429470
websphere-liberty,https://avatars.githubusercontent.com/u/5429470
irssi,https://avatars.githubusercontent.com/u/5429470
swarm,https://avatars.githubusercontent.com/u/5429470
elasticsearch,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-elasticsearch-logo.png,latest,8.8.0,7.17.0
jetty,https://avatars.githubusercontent.com/u/5429470
ghost,https://avatars.githubusercontent.com/u/5429470
celery,https://avatars.githubusercontent.com/u/5429470
percona,https://avatars.githubusercontent.com/u/5429470
aerospike,https://avatars.githubusercontent.com/u/5429470
logstash,https://avatars.githubusercontent.com/u/5429470
julia,https://avatars.githubusercontent.com/u/5429470
alpine,https://d1q6f0aelx0por.cloudfront.net/product-logos/library-alpine-logo.png,latest,3.18,3.17,3.16,edge
rakudo-star,https://avatars.githubusercontent.com/u/5429470
drupal,https://avatars.githubusercontent.com/u/5429470
cassandra,https://avatars.githubusercontent.com/u/5429470
sonarqube,https://avatars.githubusercontent.com/u/5429470
couchbase,https://avatars.githubusercontent.com/u/5429470
ros,https://avatars.githubusercontent.com/u/5429470
kibana,https://avatars.githubusercontent.com/u/5429470
kaazing-gateway,https://avatars.githubusercontent.com/u/5429470
arangodb,https://avatars.githubusercontent.com/u/5429470
owncloud,https://avatars.githubusercontent.com/u/5429470
gazebo,https://avatars.githubusercontent.com/u/5429470
joomla,https://avatars.githubusercontent.com/u/5429470
